Week,Date,Lecture Topic,New Concepts OH,Campbell's Chapters
21,9/20/25,Histology and Digestion,Pentose Phosphate Pathway,40
22,9/27/25,Digestion and Excretion,Nutrient Metabolism,"41, 44"
23,10/4/25,Circulation and Respiration,"Cardiac, Kidney, and Respiratory Math",42
24,10/11/25,Immune System,Blood Histology and Hematology,43
25,10/18/25,Endocrine System,Glucose Metabolism,45
26,10/25/25,Reproductive System,IVF,46
27,11/1/25,Development,Drosophila Development,47
28,11/8/25,Nervous System 1,Neuronal Ion Channels,48
29,11/15/25,Nervous System 2,Temperature Regulation and Fatty Acid Catabolism,49
30,11/22/25,Sensory and Motor Systems,Immunology Topics,50
31,11/29/25,Anatomy and Physiology Review,Membrane Potential,NA
32,12/6/25,Plant Development,Basal Ganglia Circuits and Brain Disease,35
33,12/13/25,Plant Transport and Nutrition,Muscle Physics,"36, 37"
34,12/20/25,Plant Hormones,Vascular Math,38
35,12/27/25,Plant Technologies,Plant Hormone Synthesis,39
36,1/3/26,Plants Review,Quantum Yield and Agriculture,NA
37,1/10/26,Ethology,Optimal Foraging Theory,51
38,1/17/26,Ecology I,Game Theory,52-54
39,1/24/26,Ecology II,Lotka Volterra,"55,56"
40,1/31/26,Overall Review,Productivity and Production + Final Tips,NA
